%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1526876684240406128,0,1526876684239958211,world,-0.0349873937666,0.0181803647429,0.0226243343204,0.00417830701917,-0.00701165059581,-0.0082825422287,-0.999932408333
1526876684250905322,1,1526876684250513096,world,-0.0349800661206,0.0181744713336,0.0226180125028,0.00401421450078,-0.00707726366818,-0.00830627325922,-0.999932408333
1526876684260284282,2,1526876684259904767,world,-0.0349600426853,0.0181912630796,0.0226017851382,0.00415395898744,-0.00697281910107,-0.00831094570458,-0.999932527542
1526876684270712076,3,1526876684270331721,world,-0.0349556207657,0.0181930679828,0.0225985776633,0.00429598614573,-0.00690999394283,-0.00817149691284,-0.999933600426
1526876684280352315,4,1526876684279912717,world,-0.0349769592285,0.0181763283908,0.0226087365299,0.0041384822689,-0.00700486451387,-0.00823481287807,-0.999933004379
1526876684290914217,5,1526876684290371449,world,-0.0349868163466,0.0181697793305,0.0226184483618,0.00409521721303,-0.0070216669701,-0.00835664570332,-0.999932050705
1526876684290942449,6,1526876684290428617,world,-0.0349619351327,0.018191581592,0.022612541914,0.00407653162256,-0.00700047798455,-0.00826606433839,-0.999933123589
1526876684300280175,7,1526876684299833186,world,-0.0349628590047,0.0181902963668,0.022595686838,0.00425787596032,-0.00700501725078,-0.00816311687231,-0.999933123589
1526876684310514749,8,1526876684310202530,world,-0.0349758304656,0.0181793104857,0.0226275194436,0.00407096557319,-0.00696812570095,-0.00826386641711,-0.999933362007
1526876684319913351,9,1526876684319547785,world,-0.0349906720221,0.0181810483336,0.0226209033281,0.00394681515172,-0.0071407421492,-0.00818892940879,-0.999933242798
1526876684330365004,10,1526876684329905624,world,-0.0349576771259,0.0181832779199,0.0225994028151,0.00403293594718,-0.00699214171618,-0.00819889549166,-0.999933838844
1526876684330374561,11,1526876684329961547,world,-0.0349660888314,0.0181941967458,0.0226022321731,0.00411188974977,-0.00689411070198,-0.00827961880714,-0.999933600426
1526876684340803436,12,1526876684340372509,world,-0.0349841453135,0.0181801188737,0.0226203817874,0.00410726154223,-0.00698447134346,-0.00823706574738,-0.999933242798
1526876684350182392,13,1526876684349808391,world,-0.0349823907018,0.018180411309,0.0226192511618,0.00396703043953,-0.00700586428866,-0.00828600954264,-0.999933362007
1526876684360642486,14,1526876684360247798,world,-0.0350110195577,0.0181956663728,0.0225246474147,0.0031277583912,-0.0083233974874,-0.00806608702987,-0.999927997589
1526876684369926739,15,1526876684369525024,world,-0.0349606908858,0.0182007476687,0.0225984714925,0.00401915423572,-0.00695453304797,-0.00823925156146,-0.999933838844
1526876684380342111,16,1526876684379889186,world,-0.0349851287901,0.0181881207973,0.0226187575608,0.00414971727878,-0.00696342624724,-0.00821929238737,-0.999933362007
1526876684380413076,17,1526876684379945805,world,-0.0349804759026,0.0181778315455,0.0226262286305,0.00397071475163,-0.0069512357004,-0.00830117519945,-0.999933600426
1526876684390771321,18,1526876684390373411,world,-0.0349637456238,0.0181889068335,0.0226215682924,0.00406414736062,-0.00716170901433,-0.00822443049401,-0.999932289124
1526876684400313378,19,1526876684399919035,world,-0.0349676571786,0.0181997828186,0.0226162523031,0.00414154259488,-0.00695543829352,-0.00821184180677,-0.999933600426
1526876684410806879,20,1526876684410394615,world,-0.0349821820855,0.0181872285903,0.0226169340312,0.00410307943821,-0.00705730682239,-0.00821091607213,-0.999933004379
1526876684420149377,21,1526876684419760221,world,-0.0349823050201,0.0181805770844,0.0226163193583,0.0040693054907,-0.00708191702142,-0.00826793722808,-0.999932527542
1526876684430654444,22,1526876684430165094,world,-0.0349661819637,0.0181898456067,0.0226027239114,0.00412526959553,-0.00699174543843,-0.00822790060192,-0.999933242798
1526876684430699557,23,1526876684430222410,world,-0.0349647700787,0.0181880369782,0.0225962474942,0.00412337016314,-0.00698732677847,-0.00816527567804,-0.999933838844
1526876684439967196,24,1526876684439573232,world,-0.0349717661738,0.0181875992566,0.0226198937744,0.00410754373297,-0.00707290554419,-0.00822952017188,-0.999932765961
1526876684450421285,25,1526876684450019371,world,-0.0349774807692,0.0181837845594,0.0226225815713,0.00402711471543,-0.0070456136018,-0.00827947258949,-0.99993288517
1526876684460760460,26,1526876684460373587,world,-0.0349715091288,0.0181860476732,0.0226058606058,0.00403397250921,-0.00711017055437,-0.00824937038124,-0.999932646751
1526876684470118572,27,1526876684469753235,world,-0.0349596068263,0.0181781835854,0.0226146951318,0.00414318591356,-0.00687798345461,-0.00809314660728,-0.999935030937
1526876684480751252,28,1526876684480189092,world,-0.0349697433412,0.0181849934161,0.0226168166846,0.00413463357836,-0.00704467995092,-0.00817915797234,-0.999933242798
1526876684480765605,29,1526876684480261644,world,-0.0349720604718,0.0181811340153,0.0226251538843,0.0040702582337,-0.00706853624433,-0.00825851317495,-0.999932646751
1526876684491096989,30,1526876684490601088,world,-0.034961014986,0.0181818380952,0.0226103439927,0.00400071917102,-0.00694781541824,-0.00828006118536,-0.999933600426
1526876684500360206,31,1526876684499970499,world,-0.0349639318883,0.0181870218366,0.0226061400026,0.00403174944222,-0.00692848069593,-0.0081296581775,-0.999934911728
1526876684510908075,32,1526876684510511008,world,-0.0349742546678,0.0181897673756,0.0226191487163,0.00407294323668,-0.00705080339685,-0.00820644572377,-0.999933242798
1526876684520260676,33,1526876684519890459,world,-0.0349734723568,0.0181883927435,0.0226334705949,0.00400192057714,-0.00689977686852,-0.00829097535461,-0.999933838844
1526876684530705345,34,1526876684530261199,world,-0.0349677503109,0.018187912181,0.0226136054844,0.00409973040223,-0.00689519988373,-0.00827837269753,-0.999933600426
1526876684530798542,35,1526876684530351815,world,-0.0349694751203,0.0181865617633,0.0226104576141,0.00424391264096,-0.00697040790692,-0.00829197652638,-0.999932408333
1526876684540247208,36,1526876684539808539,world,-0.0349774993956,0.0181854516268,0.0226059574634,0.00413375953212,-0.00707570044324,-0.00825920514762,-0.999932408333
1526876684550647591,37,1526876684550227131,world,-0.0349740087986,0.0181798692793,0.022603418678,0.0041343155317,-0.00712932785973,-0.00829730834812,-0.999931693077
1526876684560895866,38,1526876684560566698,world,-0.0349658057094,0.0181850679219,0.0226033683866,0.00411633821204,-0.00701244501397,-0.00828239507973,-0.999932646751
1526876684570391858,39,1526876684569997112,world,-0.0349619574845,0.0181920640171,0.0226138196886,0.00403260625899,-0.00697628222406,-0.00823769718409,-0.999933600426
1526876684580774283,40,1526876684580336071,world,-0.0349743030965,0.0181890800595,0.0226119365543,0.00404637446627,-0.00702996645123,-0.00820741429925,-0.999933481216
1526876684580927300,41,1526876684580397243,world,-0.0349776893854,0.0181926246732,0.0226192828268,0.00392003869638,-0.00695120124146,-0.00821816176176,-0.999934434891
1526876684590204460,42,1526876684589725951,world,-0.0349727645516,0.0181936901063,0.0226221047342,0.00389341078699,-0.00694382982329,-0.00819494761527,-0.999934792519
1526876684600457976,43,1526876684600025210,world,-0.0349627919495,0.0181898307055,0.0226109884679,0.00410615094006,-0.00687509868294,-0.0082277469337,-0.999934077263
