%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1526875084975006100,544,1526875084974623760,world,-0.0356465727091,-0.954292595387,0.0186591483653,-0.00232419511303,-0.0115092573687,-0.0102781550959,-0.999878287315
1526875084975020830,545,1526875084974685305,world,-0.0356689654291,-0.95429444313,0.0186504796147,-0.00271269888617,-0.0113719115034,-0.0102569106966,-0.99987912178
1526875084985521095,546,1526875084985064550,world,-0.0356513597071,-0.954317629337,0.0187679771334,-0.000833300349768,-0.0123404785991,-0.0108851492405,-0.999864339828
1526875084994895299,547,1526875084994521251,world,-0.0356696285307,-0.954294502735,0.0186806954443,-0.00231744884513,-0.0114069925621,-0.010349271819,-0.999878764153
1526875085005269558,548,1526875085004934240,world,-0.0356582216918,-0.954288721085,0.0186589639634,-0.00246108067222,-0.0114495325834,-0.0102771706879,-0.999878644943
1526875085014885309,549,1526875085014432953,world,-0.0356333367527,-0.954222559929,0.0186114721,-0.00227454444394,-0.0117288054898,-0.0103194406256,-0.999875426292
1526875085025245679,550,1526875085024869901,world,-0.0356505662203,-0.954306066036,0.018771674484,-0.000677210453432,-0.012519929558,-0.0109144458547,-0.999861836433
1526875085034828395,551,1526875085034371346,world,-0.0356128178537,-0.954227805138,0.0186403878033,-0.00191017088946,-0.0118517465889,-0.0104494504631,-0.999873399734
1526875085034841711,552,1526875085034427245,world,-0.0356131605804,-0.954315721989,0.0187593922019,-0.000676294963341,-0.0126210208982,-0.0108304861933,-0.999861478806
1526875085045307177,553,1526875085044884809,world,-0.03565312922,-0.954324364662,0.0187704563141,-0.000829195254482,-0.01257181447,-0.0109009575099,-0.999861240387
1526875085054663214,554,1526875085054352887,world,-0.0356541797519,-0.95433139801,0.0187767855823,-0.000438427727204,-0.0125729385763,-0.0109045123681,-0.999861478806
1526875085065210059,555,1526875085064826907,world,-0.0356468707323,-0.954299807549,0.0186732765287,-0.00220132642426,-0.0114445416257,-0.0104142362252,-0.999877929688
1526875085074685905,556,1526875085074246070,world,-0.0355989634991,-0.954222917557,0.0186066776514,-0.001994848717,-0.0116312140599,-0.0103189498186,-0.999877214432
1526875085085187288,557,1526875085084761047,world,-0.0356356985867,-0.954212665558,0.0185909140855,-0.00232322048396,-0.0115915443748,-0.0102655477822,-0.99987745285
1526875085085198455,558,1526875085084817182,world,-0.0356530919671,-0.954319953918,0.0187635291368,-0.00069316389272,-0.0124795446172,-0.0108310943469,-0.999863266945
1526875085094786715,559,1526875085094356225,world,-0.0356513895094,-0.9543004632,0.0186765510589,-0.00220458093099,-0.0115053020418,-0.0103560099378,-0.999877810478
1526875085105173927,560,1526875085104763717,world,-0.0356665290892,-0.954304277897,0.0186507478356,-0.00255726091564,-0.0113060669973,-0.0102457860485,-0.999880313873
1526875085114580310,561,1526875085114142395,world,-0.0356588549912,-0.954317390919,0.0187480151653,-0.000992354005575,-0.0124424574897,-0.0108758928254,-0.999863028526
1526875085124995981,562,1526875085124560718,world,-0.035654950887,-0.954339206219,0.0187890827656,-0.000506338954438,-0.0125625599176,-0.0109826223925,-0.999860644341
1526875085135395686,563,1526875085134924015,world,-0.0355988889933,-0.954251825809,0.0186347346753,-0.00183003593702,-0.0118036065251,-0.010464463383,-0.999873995781
1526875085135406300,564,1526875085134979177,world,-0.0356046035886,-0.954260110855,0.0188323874027,0.000305495312205,-0.0112165166065,-0.0113853206858,-0.999872326851
1526875085144935036,565,1526875085144415999,world,-0.0356501601636,-0.954314887524,0.0187828186899,-0.00065143610118,-0.0124407373369,-0.0109673468396,-0.999862313271
1526875085155287172,566,1526875085154875859,world,-0.0356383360922,-0.954339146614,0.0187809299678,-0.000525613839272,-0.0126408580691,-0.0109180752188,-0.999860405922
1526875085164724406,567,1526875085164310869,world,-0.0356488786638,-0.954305529594,0.018653517589,-0.00221157609485,-0.0116339297965,-0.0102755269036,-0.999877095222
1526875085175122763,568,1526875085174694844,world,-0.0356406718493,-0.954330563545,0.0187425017357,-0.00084865273675,-0.012383999303,-0.0107757486403,-0.999864935875
1526875085175196914,569,1526875085174764960,world,-0.0356698222458,-0.954332947731,0.0187742523849,-0.000731102016289,-0.0125614888966,-0.0108632817864,-0.999861836433
1526875085194873890,570,1526875085194430508,world,-0.0356357432902,-0.954340994358,0.0187761113048,-0.000409604777815,-0.0128050195053,-0.0109339533374,-0.999858260155
1526875085194890071,571,1526875085194496447,world,-0.0356104299426,-0.954241812229,0.0186244156212,-0.00201221671887,-0.0118483314291,-0.0103542795405,-0.9998742342
1526875085205405206,572,1526875085205052329,world,-0.0356150940061,-0.95426684618,0.0188308879733,9.50178218773e-05,-0.0112713081762,-0.0113828880712,-0.999871730804
1526875085214891824,573,1526875085214542254,world,-0.0356664918363,-0.954331636429,0.0187904424965,-0.000638753932435,-0.0123958168551,-0.0110105834901,-0.99986243248
1526875085225411325,574,1526875085224974422,world,-0.0356168784201,-0.954231023788,0.0186360683292,-0.00195212801918,-0.0118521517143,-0.0103693697602,-0.99987411499
1526875085225428819,575,1526875085225080920,world,-0.0356446988881,-0.954287946224,0.0186390206218,-0.00248221238144,-0.0115498481318,-0.0102538345382,-0.999877691269
1526875085234956213,576,1526875085234570861,world,-0.0356364808977,-0.954275906086,0.0188438817859,-6.68757929816e-05,-0.0110933864489,-0.011397539638,-0.999873518944
1526875085244645367,577,1526875085244298667,world,-0.0356588587165,-0.954331457615,0.0187868028879,-0.000458155060187,-0.0124443452805,-0.011045563966,-0.999861478806
1526875085255129680,578,1526875085254768245,world,-0.0356473773718,-0.954314351082,0.0186650324613,-0.00212670327164,-0.0116692362353,-0.0103813996539,-0.99987578392
1526875085264554165,579,1526875085264133485,world,-0.0356468260288,-0.954300880432,0.0186356101185,-0.00236569927074,-0.0115121696144,-0.0102199064568,-0.999878764153
1526875085275225013,580,1526875085274800243,world,-0.0356138125062,-0.954254567623,0.0187072958797,-0.000492213992402,-0.0127706388012,-0.0108597055078,-0.999859452248
1526875085284684866,581,1526875085284235077,world,-0.0356307774782,-0.954232811928,0.0186325535178,-0.00195403466932,-0.0118650244549,-0.010475053452,-0.999872922897
1526875085284738271,582,1526875085284311419,world,-0.035642053932,-0.954304218292,0.0186478383839,-0.00222846958786,-0.0115828355774,-0.0102413222194,-0.999878048897
1526875085295195266,583,1526875085294788515,world,-0.0356271192431,-0.954326748848,0.0187263153493,-0.000689718697686,-0.0124938087538,-0.0107609732077,-0.999863862991
1526875085304571167,584,1526875085304165931,world,-0.0356732830405,-0.954326570034,0.0187624897808,-0.000769823906012,-0.0125898430124,-0.0108683919534,-0.999861478806
1526875085314995679,585,1526875085314609155,world,-0.0356492251158,-0.954344630241,0.0187867730856,-0.000416562194005,-0.0126469200477,-0.0110155045986,-0.999859333038
1526875085325358476,586,1526875085324960429,world,-0.0356383547187,-0.954311192036,0.0186522789299,-0.0021337615326,-0.0116306580603,-0.0102495839819,-0.99987757206
1526875085334844968,587,1526875085334402996,world,-0.0356029383838,-0.954269111156,0.0188227314502,0.000163805132615,-0.011210125871,-0.0114001827314,-0.999872207642
1526875085334861410,588,1526875085334458051,world,-0.0356635339558,-0.954328000546,0.0187734775245,-0.000729112827685,-0.0123865231872,-0.0109715508297,-0.999862909317
1526875085345215748,589,1526875085344818410,world,-0.0356450378895,-0.954349517822,0.0187805127352,-0.000634228286799,-0.0126231936738,-0.0109560610726,-0.999860167503
1526875085354724205,590,1526875085354329359,world,-0.0355903208256,-0.954234778881,0.0186058860272,-0.00183575158007,-0.0118841994554,-0.0102500068024,-0.999875187874
1526875085365310610,591,1526875085364862763,world,-0.0356919839978,-0.95426428318,0.0188437905163,-0.000129727719468,-0.0110811237246,-0.0121163222939,-0.999865293503
1526875085374798034,592,1526875085374359769,world,-0.0356791354716,-0.954337835312,0.018787227571,-0.00072320131585,-0.0122974580154,-0.0111328810453,-0.999862194061
1526875085374812892,593,1526875085374414898,world,-0.035629183054,-0.954345524311,0.0187793634832,-0.000592474883888,-0.0126605005935,-0.0109317693859,-0.999859929085
1526875085385328895,594,1526875085384885908,world,-0.0356012620032,-0.954247653484,0.0186096318066,-0.00186960934661,-0.0118075124919,-0.010381356813,-0.999874711037
1526875085394812088,595,1526875085394436076,world,-0.0356584899127,-0.954327464104,0.0187315810472,-0.00100922293495,-0.0124519132078,-0.0107643082738,-0.99986410141
1526875085405244785,596,1526875085404875683,world,-0.0356718041003,-0.954352080822,0.0187758300453,-0.000679910648614,-0.0124817853794,-0.0109947379678,-0.999861478806
1526875085414766779,597,1526875085414360101,world,-0.0356547571719,-0.95431292057,0.018672272563,-0.0021442938596,-0.0114732906222,-0.0103526310995,-0.999878287315
1526875085425227654,598,1526875085424841383,world,-0.0356463305652,-0.954299628735,0.0186295602471,-0.00237599294633,-0.011574911885,-0.0102300588042,-0.999877929688
1526875085434649155,599,1526875085434224627,world,-0.0357356928289,-0.954327821732,0.018763102591,-0.00111926253885,-0.0123756239191,-0.0114943953231,-0.999856829643
1526875085434684403,600,1526875085434276653,world,-0.0356529690325,-0.954242408276,0.0186347831041,-0.00199703499675,-0.0117243304849,-0.010491441004,-0.9998742342
1526875085445075428,601,1526875085444672801,world,-0.0356472022831,-0.954304754734,0.01863899827,-0.00226370315067,-0.0114210331813,-0.0102601898834,-0.999879598618
1526875085454467933,602,1526875085454041582,world,-0.035652410239,-0.954299151897,0.0186243262142,-0.00245227455162,-0.0116277420893,-0.010326333344,-0.999876141548
1526875085464820404,603,1526875085464480706,world,-0.0356635525823,-0.954330384731,0.0187461674213,-0.000978905591182,-0.0125096803531,-0.0108146471903,-0.999862790108
1526875085475305034,604,1526875085474916221,world,-0.0356552414596,-0.954351902008,0.0187880378217,-0.000806981232017,-0.0124743208289,-0.0110281920061,-0.999861121178
