%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1526867880334174262,1725,1526867880327845495,world,-4.63705946459e-05,-4.63705946459e-05,-4.63705946459e-05,0.0,0.0,0.0
1526867880354639592,1726,1526867880347851699,world,-0.000100653051049,-0.000100653051049,-0.000100653051049,0.0,0.0,0.0
1526867880375006843,1727,1526867880367730600,world,-0.000593881122768,-0.000593881122768,-0.000593881122768,0.0,0.0,0.0
1526867880394167944,1728,1526867880388602563,world,0.000644979649223,0.000644979649223,0.000644979649223,0.0,0.0,0.0
1526867880414634931,1729,1526867880408388529,world,0.000135266513098,0.000135266513098,0.000135266513098,0.0,0.0,0.0
1526867880435009447,1730,1526867880428423551,world,1.22384408314e-05,1.22384408314e-05,1.22384408314e-05,0.0,0.0,0.0
1526867880454162647,1731,1526867880448217638,world,3.60659105354e-05,3.60659105354e-05,3.60659105354e-05,0.0,0.0,0.0
1526867880474682226,1732,1526867880468055205,world,3.38957142958e-05,3.38957142958e-05,3.38957142958e-05,0.0,0.0,0.0
1526867880494994548,1733,1526867880488041803,world,0.000252695841482,0.000252695841482,0.000252695841482,0.0,0.0,0.0
1526867880514530239,1734,1526867880507874806,world,-0.000263094494585,-0.000263094494585,-0.000263094494585,0.0,0.0,0.0
1526867880534851584,1735,1526867880527821388,world,0.000172667001607,0.000172667001607,0.000172667001607,0.0,0.0,0.0
1526867880555082423,1736,1526867880547562014,world,-5.6363074691e-05,-5.6363074691e-05,-5.6363074691e-05,0.0,0.0,0.0
1526867880574668749,1737,1526867880568519156,world,-0.000168562459294,-0.000168562459294,-0.000168562459294,0.0,0.0,0.0
1526867880595006921,1738,1526867880588384838,world,-5.2726627473e-05,-5.2726627473e-05,-5.2726627473e-05,0.0,0.0,0.0
1526867880614358772,1739,1526867880608202258,world,-3.02262978948e-05,-3.02262978948e-05,-3.02262978948e-05,0.0,0.0,0.0
1526867880634803192,1740,1526867880628132616,world,4.28875591751e-06,4.28875591751e-06,4.28875591751e-06,0.0,0.0,0.0
1526867880655135178,1741,1526867880648561666,world,-0.00026566995075,-0.00026566995075,-0.00026566995075,0.0,0.0,0.0
1526867880674570172,1742,1526867880668466811,world,-0.000220704547246,-0.000220704547246,-0.000220704547246,0.0,0.0,0.0
1526867880694749031,1743,1526867880688317788,world,9.28996087168e-05,9.28996087168e-05,9.28996087168e-05,0.0,0.0,0.0
1526867880715150762,1744,1526867880707930792,world,-8.03542789072e-05,-8.03542789072e-05,-8.03542789072e-05,0.0,0.0,0.0
1526867880734528233,1745,1526867880728553294,world,-7.43736236473e-05,-7.43736236473e-05,-7.43736236473e-05,0.0,0.0,0.0
1526867880754934808,1746,1526867880748330940,world,-0.000286006572424,-0.000286006572424,-0.000286006572424,0.0,0.0,0.0
1526867880775304105,1747,1526867880768155982,world,0.000288234616164,0.000288234616164,0.000288234616164,0.0,0.0,0.0
1526867880794664403,1748,1526867880788052410,world,-0.00016207434237,-0.00016207434237,-0.00016207434237,0.0,0.0,0.0
1526867880815029949,1749,1526867880807926865,world,7.16086651664e-05,7.16086651664e-05,7.16086651664e-05,0.0,0.0,0.0
1526867880834337909,1750,1526867880827583498,world,0.00010255145753,0.00010255145753,0.00010255145753,0.0,0.0,0.0
1526867880854790706,1751,1526867880848329062,world,-4.96120810567e-05,-4.96120810567e-05,-4.96120810567e-05,0.0,0.0,0.0
1526867880875072185,1752,1526867880868255176,world,0.000330411741743,0.000330411741743,0.000330411741743,0.0,0.0,0.0
1526867880894227234,1753,1526867880887509336,world,-0.000123244317365,-0.000123244317365,-0.000123244317365,0.0,0.0,0.0
1526867880914628164,1754,1526867880908142171,world,-0.000139628915349,-0.000139628915349,-0.000139628915349,0.0,0.0,0.0
1526867880934924304,1755,1526867880927943912,world,-0.000204885349376,-0.000204885349376,-0.000204885349376,0.0,0.0,0.0
1526867880955242180,1756,1526867880947880796,world,0.00012773781782,0.00012773781782,0.00012773781782,0.0,0.0,0.0
1526867880974699040,1757,1526867880967794238,world,0.000211943653994,0.000211943653994,0.000211943653994,0.0,0.0,0.0
1526867880995186659,1758,1526867880988626127,world,-8.97621139302e-05,-8.97621139302e-05,-8.97621139302e-05,0.0,0.0,0.0
1526867881014569592,1759,1526867881008409572,world,-9.68197418842e-05,-9.68197418842e-05,-9.68197418842e-05,0.0,0.0,0.0
1526867881034945497,1760,1526867881028279055,world,-0.000100245582871,-0.000100245582871,-0.000100245582871,0.0,0.0,0.0
1526867881055401783,1761,1526867881047938351,world,0.000153381581185,0.000153381581185,0.000153381581185,0.0,0.0,0.0
1526867881074793356,1762,1526867881067794219,world,-0.00011017594079,-0.00011017594079,-0.00011017594079,0.0,0.0,0.0
1526867881095236985,1763,1526867881088576263,world,-7.5334457506e-05,-7.5334457506e-05,-7.5334457506e-05,0.0,0.0,0.0
1526867881114613808,1764,1526867881108439674,world,3.07564150717e-05,3.07564150717e-05,3.07564150717e-05,0.0,0.0,0.0
1526867881134859385,1765,1526867881128390969,world,0.000243708724156,0.000243708724156,0.000243708724156,0.0,0.0,0.0
1526867881155241496,1766,1526867881148251408,world,-0.000187799421838,-0.000187799421838,-0.000187799421838,0.0,0.0,0.0
1526867881174598584,1767,1526867881168047642,world,0.000205353702768,0.000205353702768,0.000205353702768,0.0,0.0,0.0
1526867881194965717,1768,1526867881187894371,world,0.000201077273232,0.000201077273232,0.000201077273232,0.0,0.0,0.0
