%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1526373854529348326,2616,1526373854529247461,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00252082865368,0.00170390828052,0.000487927814692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030793671445,-0.020434342199,9.79741620719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854539640771,2617,1526373854539395230,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145860370629,0.00132884027191,0.000449949193492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0288333786931,-0.00678671816946,9.78494468093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854549515345,2618,1526373854549368151,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172298265168,0.00144503341811,-0.000186874195743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00982066592434,-0.0091564313625,9.79091234922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854559572538,2619,1526373854559373129,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029434933847,-0.000266318433422,-0.000847407976039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00169833563486,0.00370226423285,9.81385682344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854569642759,2620,1526373854569480258,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259604058808,0.000316165595217,0.000499653688264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000281289991271,0.00224972507305,9.79565736473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854580583096,2621,1526373854580418637,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116783163815,0.000239399911777,-0.000209690630075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141261386883,-0.00891744184017,9.78738238513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854595375787,2622,1526373854595197523,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815654266322,-0.000363659588262,-0.00251487685275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134849869239,-0.0116381872573,9.79823423266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854596981297,2623,1526373854596854256,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06480892214e-05,-0.00176361276314,-0.00117694893373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061522929871,0.00502606272174,9.7783443439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854609853024,2624,1526373854609745625,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00247861546981,0.000773440237208,-0.000438833519304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129920175369,-0.00551724311197,9.77799526513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854620195398,2625,1526373854619940274,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000840454823936,0.00161294299406,0.00058134901552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0178065075539,-0.00346213096316,9.79390261531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
