%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1526878580145557790,0,1526878580145046327,world,-1.03218317032,-0.960006713867,0.0342968404293,-0.00697072176263,-0.00433987099677,0.0155297592282,-0.999845743179
1526878580155115569,1,1526878580154549765,world,-1.03216671944,-0.96004319191,0.0340373888612,-0.0102696400136,-0.00467760488391,0.0164690986276,-0.999800682068
1526878580165502091,2,1526878580165002999,world,-1.03204894066,-0.960225522518,0.0341435372829,-0.00752274505794,-0.0042312098667,0.0150330960751,-0.999849796295
1526878580165514531,3,1526878580165069341,world,-1.03217470646,-0.960142612457,0.0341061390936,-0.00885405018926,-0.00547312945127,0.0160580594093,-0.999816894531
1526878580174724674,4,1526878580174342700,world,-1.03218793869,-0.960085272789,0.0340668596327,-0.0105255004019,-0.00482409028336,0.0166602414101,-0.999794244766
1526878580185170803,5,1526878580184787544,world,-1.03218436241,-0.960133194923,0.034081093967,-0.00933781266212,-0.00543581089005,0.0160153973848,-0.999813437462
1526878580195513123,6,1526878580195125621,world,-1.03206622601,-0.960219502449,0.0341610461473,-0.00731860566884,-0.00433078128844,0.0149608254433,-0.999851942062
1526878580204764115,7,1526878580204483410,world,-1.03218352795,-0.960049211979,0.0340607315302,-0.0103582041338,-0.00479391543195,0.016580786556,-0.999797463417
1526878580215432158,8,1526878580214985033,world,-1.03218650818,-0.960049033165,0.034034140408,-0.0106601323932,-0.00484311161563,0.0167599264532,-0.999791026115
1526878580215450008,9,1526878580215040924,world,-1.03202795982,-0.960228383541,0.0341285392642,-0.00789258629084,-0.00367041165009,0.014957383275,-0.999850273132
1526878580225817863,10,1526878580225416411,world,-1.03229141235,-0.959926366806,0.0340794175863,-0.00998402945697,-0.00462441239506,0.0171855650842,-0.99979186058
1526878580235300224,11,1526878580234891390,world,-1.03219521046,-0.960022211075,0.0340645499527,-0.0106237344444,-0.00496563129127,0.0166978649795,-0.99979186058
1526878580245649872,12,1526878580245322079,world,-1.03218376637,-0.960125982761,0.0340836755931,-0.00920250359923,-0.00560863036662,0.0160612892359,-0.999812960625
1526878580255129187,13,1526878580254763176,world,-1.03206205368,-0.960232973099,0.0341670922935,-0.00736793410033,-0.00420917524025,0.0148360235617,-0.99985396862
1526878580265674296,14,1526878580265210061,world,-1.03215909004,-0.959983110428,0.0342506058514,-0.00767215713859,-0.003552720882,0.0156417246908,-0.999841928482
1526878580265775136,15,1526878580265285891,world,-1.03218793869,-0.9600507617,0.0340595543385,-0.0104911662638,-0.00468293670565,0.0165460705757,-0.999797105789
1526878580275169326,16,1526878580274727281,world,-1.03204166889,-0.960201501846,0.0341359488666,-0.00810835696757,-0.00376598909497,0.0149782299995,-0.999847888947
1526878580285527953,17,1526878580285121609,world,-1.03217232227,-0.960123956203,0.0340918377042,-0.00899517256767,-0.00553809339181,0.0159905180335,-0.999816417694
1526878580294915610,18,1526878580294525823,world,-1.03218233585,-0.960127532482,0.0341220535338,-0.00916264858097,-0.00582175515592,0.0161937009543,-0.999809980392
1526878580305374246,19,1526878580305008292,world,-1.03217506409,-0.960151016712,0.0341035909951,-0.00901476945728,-0.00560336420313,0.01609146595,-0.999814271927
1526878580314817182,20,1526878580314394678,world,-1.0321867466,-0.960143983364,0.0340727083385,-0.00907324627042,-0.00559505447745,0.0159823931754,-0.99981546402
