%time,field.x,field.y,field.z
1526878580141746596,0.0254198011477,0.025026128434,0.756625783232
1526878580152176147,0.0251847233453,0.0270572886713,0.756617857634
1526878580161157821,0.0253771027916,0.0253247609244,0.756593603301
1526878580171065259,0.0236925053723,0.0265277294702,0.756525949749
1526878580181922890,0.0255770193534,0.0255040016736,0.756527294444
1526878580193034658,0.0247644884009,0.0275763846981,0.756455755093
1526878580201701877,0.0251828046758,0.0258762255953,0.756437218489
1526878580212281084,0.0241658847152,0.0240244729336,0.756399026143
1526878580221261076,0.0248826560555,0.0256450733933,0.756359405569
1526878580240472367,0.0254576551192,0.0217793977287,0.756285971124
1526878580242966424,0.0253709104193,0.0222902639084,0.756275415078
1526878580252844143,0.0250732911825,0.0242280205967,0.756246905019
1526878580260604039,0.0245641586346,0.025711874436,0.756216543483
1526878580270907002,0.0240670181567,0.0236855221876,0.756170126879
1526878580281887243,0.0242874640046,0.025872352837,0.756137797011
1526878580293001356,0.0247452130972,0.0237519546342,0.756112838768
1526878580311669961,0.024565671533,0.0274814849888,0.756025100449
1526878580320432199,0.0246502432997,0.0257137244158,0.756015861261
1526878580330841875,0.0260929026372,0.0242401965139,0.75600583492
1526878580341553225,0.0242240217872,0.0253415316174,0.755934719805
1526878580352376406,0.0260941317028,0.0245874066257,0.75593641227
1526878580366990179,0.0236490615262,0.0263612421943,0.755807749935
1526878580371117862,0.0243948463052,0.0258908695595,0.755807546502
1526878580382055460,0.0264383777429,0.0251732278183,0.755810886169
1526878580391144206,0.0248675202256,0.0261052571884,0.755729567222
1526878580402041871,0.0259496527674,0.0242300070139,0.755719716231
1526878580410422357,0.024988330924,0.0256728734339,0.755676307046
1526878580421308772,0.0231466952789,0.0244531813877,0.755593331255
1526878580431793093,0.0249951474732,0.025442684432,0.755603933977
1526878580440606920,0.0266739997729,0.0259290161028,0.755598233896
1526878580452033262,0.0248780228738,0.0245834283738,0.755502053921
1526878580461832989,0.0261789135094,0.02603553196,0.755491914672
1526878580470448578,0.0255629264311,0.0244544756465,0.755438257159
1526878580483174459,0.0270179817314,0.0265525601032,0.755405631023
1526878580498929497,0.0249859587422,0.0242019517652,0.755251303415
1526878580501370681,0.0252720848737,0.0246201206343,0.755255123602
1526878580512038648,0.0261610727671,0.0265350649115,0.755253221205
1526878580520887801,0.0249689767813,0.0252433110335,0.755184023372
1526878580531735942,0.0259812883212,0.0233236854588,0.755183232715
1526878580540452984,0.0253209131138,0.0249796826499,0.75514811143
1526878580550741482,0.0233357595199,0.0254763908619,0.755041081427
1526878580561601982,0.025459395292,0.025396073607,0.755047574829
1526878580571798283,0.0233929444579,0.0254249702976,0.754948980106
1526878580580555508,0.0251584883665,0.0254125482561,0.754973218464
1526878580602041079,0.0294141413773,0.0251683536557,0.754962468543
1526878580610360288,0.0277234371638,0.0253760082234,0.754899986891
1526878580631769891,0.0233899214755,0.0254390279905,0.75474116175
1526878580633714569,0.0237463747692,0.0254293286968,0.754746031984
1526878580641419471,0.0252602304092,0.0256899298307,0.754759250794
1526878580651850006,0.0234832409855,0.0246188170186,0.75467857068
1526878580660747661,0.0249085855436,0.0257040297813,0.754674736731
1526878580671236647,0.0268806226125,0.02636905958,0.754702347569
1526878580681799435,0.0249342515058,0.0254206840313,0.754616735222
1526878580691055100,0.0266641216015,0.0259437322033,0.754630908144
1526878580701738168,0.0250337548145,0.0245949477359,0.75456371583
1526878580710364171,0.0256435092825,0.0261880249084,0.754560191498
1526878580723232257,0.023893867399,0.0243474188864,0.754473144831
1526878580731728769,0.0254675127671,0.0250538846787,0.754482897128
1526878580740399085,0.0237432698432,0.0247714117998,0.754401104066
1526878580757798950,0.0262159562786,0.0270835963369,0.754406692003
1526878580762169731,0.0254688236261,0.0265879242237,0.7543714507
1526878580770642777,0.0244186190694,0.0252489517965,0.754306436156
1526878580781505860,0.0264512056908,0.0259251590505,0.754310916352
1526878580790795603,0.0245926747206,0.0262447431183,0.754220553642
1526878580801842409,0.0267549595186,0.0258255404152,0.754228143832
1526878580810182815,0.0250554573642,0.0255951375583,0.754146631577
1526878580821038400,0.0272077741051,0.0257688916365,0.754153524767
1526878580831742878,0.0250720679734,0.0255181517262,0.75405136728
1526878580840417136,0.0267554536097,0.0251643246556,0.754055843283
1526878580851954253,0.0243992480081,0.025134685681,0.753945512968
1526878580861921630,0.0262397787056,0.0257632338652,0.753948843174
1526878580870554271,0.0246474026134,0.0250819924205,0.753878718304
1526878580889472024,0.0284216289963,0.0254726636472,0.753909194701
1526878580893825149,0.027556414733,0.025542469792,0.753877608302
1526878580901573235,0.0259996982353,0.0255882795633,0.753803700949
1526878580909749969,0.0243563656515,0.0252643719399,0.753724344092
1526878580920640764,0.0263459115397,0.0259754362616,0.753728021312
1526878580930945854,0.0244561453617,0.0252203534711,0.75364519465
