%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1526877498971820666,0,1526877498971341913,world,0.00946711376309,-0.999868035316,0.0179402288049,-0.0160104446113,-0.00893864128739,0.00330136762932,-0.999826431274
1526877498981335829,1,1526877498980881800,world,0.00944028422236,-0.999876618385,0.0179513543844,-0.0158710237592,-0.00896431785077,0.00309838377871,-0.999829173088
1526877498981355327,2,1526877498980941995,world,0.00942684523761,-0.99992442131,0.0179884023964,-0.0162090547383,-0.00845604483038,0.00330570968799,-0.999827384949
1526877498991757876,3,1526877498991351314,world,0.00947618950158,-0.999876379967,0.0179586224258,-0.0161266308278,-0.00885611027479,0.00333776557818,-0.999825239182
1526877499001175597,4,1526877499000795883,world,0.00943970493972,-0.999913334846,0.017956841737,-0.0162785481662,-0.00863719172776,0.00330644403584,-0.999824762344
1526877499011694249,5,1526877499011308804,world,0.00946832168847,-0.999864935875,0.0179552696645,-0.0159579385072,-0.00885642878711,0.00328812235966,-0.999828100204
1526877499020947735,6,1526877499020592936,world,0.00945846084505,-0.99986076355,0.0179554577917,-0.0162690747529,-0.00878723803908,0.00333460792899,-0.999823451042
1526877499031420243,7,1526877499031003429,world,0.00947866495699,-0.999859452248,0.0179560184479,-0.016062008217,-0.00889674108475,0.00333634973504,-0.999825835228
1526877499031436788,8,1526877499031058984,world,0.00947951711714,-0.999861836433,0.0179456435144,-0.0160203222185,-0.00886340346187,0.00332653289661,-0.999826908112
1526877499041894421,9,1526877499041461334,world,0.00946363247931,-0.99986243248,0.0179491322488,-0.0160406790674,-0.00887393113226,0.00324233109131,-0.999826788902
1526877499051224447,10,1526877499050823391,world,0.00942343473434,-0.999911665916,0.0179658830166,-0.0163430068642,-0.00856260489672,0.00334456167184,-0.999824166298
1526877499061546584,11,1526877499061187220,world,0.00946260243654,-0.999866366386,0.0179575253278,-0.0159197039902,-0.00874259602278,0.00323449331336,-0.999829888344
1526877499071953825,12,1526877499071561664,world,0.0094651049003,-0.999867320061,0.0179517883807,-0.0160323623568,-0.00873991008848,0.00335098290816,-0.999827742577
1526877499081414437,13,1526877499080903372,world,0.00942329410464,-0.999912977219,0.0179582983255,-0.0163148529828,-0.00856446102262,0.00335031980649,-0.999824643135
1526877499081431472,14,1526877499080958594,world,0.00946329254657,-0.99986410141,0.0179509073496,-0.0159162413329,-0.00891175959259,0.00327490759082,-0.999828338623
1526877499091757657,15,1526877499091406832,world,0.00947258900851,-0.999851584435,0.0179573222995,-0.016030870378,-0.00890085566789,0.00328572723083,-0.999826550484
1526877499101220512,16,1526877499100818262,world,0.00946299079806,-0.999865651131,0.0179554224014,-0.0160410087556,-0.00883154198527,0.00330216414295,-0.999826908112
1526877499111715184,17,1526877499111309649,world,0.00947062764317,-0.999854207039,0.0179477054626,-0.0159174650908,-0.00882642064244,0.00329385511577,-0.999828934669
1526877499121053965,18,1526877499120618142,world,0.00946575216949,-0.999845862389,0.0179359018803,-0.0160012617707,-0.00889813993126,0.00322953169234,-0.99982714653
1526877499131494731,19,1526877499131048537,world,0.00942402053624,-0.999909162521,0.01795768179,-0.0163874849677,-0.00851954612881,0.0033443539869,-0.99982380867
1526877499131534630,20,1526877499131104582,world,0.00946773588657,-0.999862670898,0.0179662704468,-0.0160540062934,-0.00867936760187,0.00324820308015,-0.999828219414
1526877499141789471,21,1526877499141426108,world,0.00946465693414,-0.99985909462,0.0179556682706,-0.0160123035312,-0.00882127135992,0.00327101023868,-0.999827623367
1526877499151221410,22,1526877499150828830,world,0.00943017564714,-0.999902963638,0.0179571732879,-0.0162692144513,-0.00864489469677,0.00335734896362,-0.999824643135
1526877499161662007,23,1526877499161219631,world,0.00945799890906,-0.99985396862,0.0179414059967,-0.0159665681422,-0.00880803354084,0.00321377394721,-0.999828577042
1526877499172030145,24,1526877499171611061,world,0.00946327764541,-0.999855279922,0.0179405231029,-0.0159690119326,-0.00900421664119,0.00331721804105,-0.999826431274
1526877499181425226,25,1526877499181007098,world,0.00946740992367,-0.999855875969,0.0179544873536,-0.0159549452364,-0.00890147406608,0.00328929908574,-0.999827742577
1526877499181543267,26,1526877499181071624,world,0.00946762785316,-0.999852895737,0.0179355759174,-0.0159888342023,-0.00905392505229,0.00328840035945,-0.999825835228
1526877499192031926,27,1526877499191456169,world,0.00947959069163,-0.99984061718,0.0179349537939,-0.0161438286304,-0.0089335097,0.00326433428563,-0.999824523926
1526877499201308181,28,1526877499200940191,world,0.00946560315788,-0.999841094017,0.0179382506758,-0.015991313383,-0.00900838617235,0.00325288856402,-0.999826312065
1526877499211808530,29,1526877499211385818,world,0.00946127157658,-0.9998524189,0.0179466400295,-0.0161062218249,-0.00887203682214,0.00325861014426,-0.999825596809
1526877499221191768,30,1526877499220761874,world,0.00946358311921,-0.999849796295,0.017942706123,-0.0161737408489,-0.00890736933798,0.00325899268501,-0.999824285507
1526877499231599927,31,1526877499231141896,world,0.00946752633899,-0.99983227253,0.0179382674396,-0.0160435251892,-0.00882212910801,0.00324119045399,-0.99982714653
1526877499241926292,32,1526877499241493737,world,0.00946239754558,-0.999836206436,0.0179369430989,-0.0161042958498,-0.00896521192044,0.00331976171583,-0.999824643135
